filename,class,is_atypical,is_augmented,augmentation_type,split
4192.png,Normal,False,False,,Training
3113.png,Normal,False,False,,Training
674.png,Normal,False,False,,Training
7312.png,Normal,False,False,,Training
2065.png,Normal,False,False,,Training
4925.png,Normal,False,False,,Training
8469.png,Normal,False,False,,Training
TUPAC16_5069.png,Normal,False,False,,Training
TUPAC16_14.png,Normal,False,False,,Training
TUPAC16_3055.png,Normal,False,False,,Training
872.png,Normal,False,False,,Training
3369.png,Normal,False,False,,Training
11180.png,Normal,False,False,,Training
TUPAC16_2620.png,Normal,False,False,,Training
8917.png,Normal,False,False,,Training
7046.png,Normal,False,False,,Training
9477.png,Normal,False,False,,Training
5571.png,Normal,False,False,,Training
11387.png,Normal,False,False,,Training
5635.png,Normal,False,False,,Training
TUPAC16_1550.png,Normal,False,False,,Training
TUPAC16_14497.png,Normal,False,False,,Training
1692.png,Normal,False,False,,Training
9326.png,Normal,False,False,,Training
7571.png,Normal,False,False,,Training
7236.png,Normal,False,False,,Training
1144.png,Normal,False,False,,Training
3869.png,Normal,False,False,,Training
5803.png,Normal,False,False,,Training
3764.png,Normal,False,False,,Training
TUPAC16_951.png,Normal,False,False,,Training
11248.png,Normal,False,False,,Training
3565.png,Normal,False,False,,Training
3314.png,Normal,False,False,,Training
2932.png,Normal,False,False,,Training
4050.png,Normal,False,False,,Training
11280.png,Normal,False,False,,Training
3952.png,Normal,False,False,,Training
TUPAC16_2585.png,Normal,False,False,,Training
6821.png,Normal,False,False,,Training
TUPAC16_3980.png,Normal,False,False,,Training
646.png,Normal,False,False,,Training
6295.png,Normal,False,False,,Training
3426.png,Normal,False,False,,Training
8899.png,Normal,False,False,,Training
TUPAC16_1297.png,Normal,False,False,,Training
323.png,Normal,False,False,,Training
194.png,Normal,False,False,,Training
3354.png,Normal,False,False,,Training
3371.png,Normal,False,False,,Training
3645.png,Normal,False,False,,Training
8827.png,Normal,False,False,,Training
4191.png,Normal,False,False,,Training
11918.png,Normal,False,False,,Training
10902.png,Normal,False,False,,Training
6057.png,Normal,False,False,,Training
TUPAC16_61.png,Normal,False,False,,Training
3938.png,Normal,False,False,,Training
1713.png,Normal,False,False,,Training
70.png,Normal,False,False,,Training
7018.png,Normal,False,False,,Training
4136.png,Normal,False,False,,Training
TUPAC16_694.png,Normal,False,False,,Training
